GWIAZDA	jd	mag	idobs	kom
TX DEL	2455033.3785	9.2	ZSI	
Z VUL	2455033.3806	7.3	ZSI	
T VUL	2455033.3820	5.5	ZSI	
V VUL	2455033.3827	8.5	ZSI	
R SCT	2455037.3299	5.8	ZSI	
ZZ BOO	2455037.3306	6.8	ZSI	
G HER	2455037.3334	5.1	ZSI	
TX HER	2455037.3341	8.2	ZSI	
68U HER	2455037.3348	4.9	ZSI	
AC HER	2455037.3362	8.1	ZSI	
AF CYG	2455037.3376	7.2	ZSI	
CH CYG	2455037.3383	8.9	ZSI	
RT CYG	2455037.3390	7	ZSI	
BETA LYR	2455037.3397	3.4	ZSI	
DELTA CEP	2455037.3403	4.1	ZSI	
X CYG	2455037.3424	6.1	ZSI	
V568 CYG	2455037.3431	6.4	ZSI	
GO CYG	2455037.3438	8.5	ZSI	
Y CYG	2455037.3445	7.2	ZSI	
T VUL	2455037.3466	5.7	ZSI	
V VUL	2455037.3473	8.8	ZSI	
Z VUL	2455037.3480	7.3	ZSI	
U SGE	2455037.3487	8.7	ZSI	
W CYG	2455037.3494	6.8	ZSI	
V1339 CYG	2455037.3501	6.5	ZSI	
AR LAC	2455037.3508	6.2	ZSI	
CM LAC	2455037.3515	8.2	ZSI	
RZ CAS	2455037.3522	6.3	ZSI	
SU CAS	2455037.3528	6.1	ZSI	
TU CAS	2455037.3535	8.4	ZSI	
TV CAS	2455037.3542	7.3	ZSI	
ETA AQL	2455037.3549	4	ZSI	
Z LAC	2455037.3556	8.7	ZSI	
X LAC	2455037.3563	8.2	ZSI	
V LAC	2455037.3570	9.1	ZSI	
RR LAC	2455037.3577	9.2	ZSI	
S EQU	2455037.3584	8.1	ZSI	
TX DEL	2455037.3591	9.4	ZSI	
DM DEL	2455037.3598	8.6	ZSI	
U SGE	2455037.3612	8.5	ZSI	
